index,noStabilization,bruteStabilization,markovStabilization
0,(-0.0012300125292960395+0j),-0.03469423015906281,-0.0067459049944267255
1,(-0.18401733453823196-0.008320044580614309j),-0.012955850608720417,-0.01231221780980996
2,(-0.4066985153369301+0j),-0.1636205921321908,-0.343437394587508
3,(-0.6370785689741545+0j),-0.23613249557822588,-0.1026867712629854
4,(-0.05653665005779432-0.01677262625271369j),-1.7432582752404908,-1.8947482268744034
10,(-0.0014785025669837096+0j),-1.586274137614868,-1.7210915994493854
11,(-0.00011975142417457048+0j),-0.004415589325714809,-0.0066396206427185266
20,(-0.02263705856621639+0j),-0.46969576268726193,-0.5478679150471751
55,(-0.012343981250457816+0j),-0.06486468048326015,-0.10841584162046086
