index,noStabilization,bruteStabilization,markovStabilization
0,(-0.0011522840495386993+0j),-0.0445064867404617,-0.04774704583245
1,(-0.1846823474620401-0.00815372539109502j),-0.006039423268146441,-0.0017567438304440625
2,(-0.40448123952567844+0j),-0.2705860944710519,-0.48770166353549815
3,(-0.6371977152212149+0j),-0.16427861062393956,-0.062102608190195224
4,(-0.056410440835909285-0.016424083821754174j),-1.9143006482217269,-2.0279818485774435
10,(-0.0014478460492542066+0j),-1.290909874722267,-1.4322390396208302
11,(-0.00014882323523477694+0j),-0.03142511249051137,-0.02522002609544054
