index,noStabilization,bruteStabilization,markovStabilization
0,(-0.0006801472242693389+0j),-0.04758107179735497,-0.053204038419409336
1,(-0.18969209453532673-0.0069036321157124455j),-0.003359654734298267,-0.006185478882031881
2,(-0.3883813308909205+0j),-0.25339878472717786,-0.28324197436855764
3,(-0.6381454446604595+0j),-0.17045929342576185,-0.05048691170980024
4,(-0.05559227686622077-0.013965754157629778j),-1.702323693058194,-1.9927131321184768
10,(-0.0012459680306174464+0j),-1.5957898163198962,-1.6217598516861444
11,(-0.00047214566714505956+0j),-8.054445035723376e-06,-0.000294179517656904
