index,noStabilization,bruteStabilization,markovStabilization
0,(-0.604591555022658-0.1891047864761691j),-0.16581305887889866,-0.1519110718198923
1,(-0.23242760571213011+0.0032092037317285123j),-0.01199685682794544,-0.016344858876482782
2,(-0.04461550740844089+0j),-1.4877764535845537,-1.0907892017308036
3,(-0.2277470691259213+0j),-0.1200468273415107,-0.05633502582273466
4,(-0.015480372896044205+0j),-0.5102565374961936,-0.5455044880463191
10,(-0.0004799133784046269+0j),-1.5606341615551265,-1.8603066155194947
11,(-0.18304299296250384+0j),-0.4055272268900996,-0.3383171171440124
20,(-0.030139490772881885+0j),-0.6137553042441592,-0.8404496446764762
55,(-0.0012570395516334897+0j),-0.16764433949195293,-0.20967132227451912
